내국인업종코드(SB_UPJONG_CD),성별(SEX_CCD),카드이용건수(USECT_CORR)
SB006,M,5.03
SB020,M,55.33
SB019,,5.03
SB041,M,5.03
SB008,M,5.03
SB016,M,5.03
SB020,M,45.27
SB004,F,5.03
SB001,,5.03
SB004,F,15.09
SB016,F,10.06
SB003,F,5.03
SB007,M,40.24
SB007,F,5.03
SB044,M,25.15
SB001,F,5.03
SB008,,30.18
SB016,M,18.2
SB052,M,20.12
SB013,F,10.06
SB043,F,5.03
SB018,M,70.42
SB008,M,10.06
SB016,M,9.1
SB016,M,5.03
SB006,F,5.03
SB006,F,5.03
SB008,M,18.2
SB054,F,25.15
SB001,,5.03
SB016,F,5.03
SB006,M,5.03
SB008,F,5.03
SB019,F,15.09
SB001,F,10.06
SB001,F,25.15
SB016,F,5.03
SB060,,55.33
SB032,M,25.15
SB013,M,5.03
SB005,F,10.06
SB001,M,5.03
SB022,M,45.27
SB016,F,10.06
SB013,,5.03
SB016,M,5.03
SB016,F,20.12
SB016,M,120.72
SB051,M,5.03
SB003,M,9.1
SB008,F,5.03
SB013,M,10.06
SB021,M,60.36
SB016,F,5.03
SB008,M,35.21
SB003,M,5.03
SB002,M,5.03
SB001,F,10.06
SB020,M,5.03
SB053,M,5.03
SB052,,20.12
SB007,M,5.03
SB051,F,5.03
SB001,F,50.3
SB001,M,35.21
SB008,M,35.21
SB001,F,5.03
SB013,F,35.21
SB016,F,5.03
SB030,M,20.12
SB010,M,65.39
SB016,F,35.21
SB062,M,5.03
SB016,M,5.03
SB005,M,20.12
SB018,M,206.23
SB005,F,25.15
SB016,F,20.12
SB054,F,5.03
SB005,M,5.03
SB002,F,20.12
SB002,M,55.33
SB062,F,5.03
SB051,M,5.03
SB006,F,30.18
SB001,M,5.03
SB008,F,55.33
SB016,F,5.03
SB008,F,5.03
SB006,F,10.06
SB044,F,20.12
SB020,M,15.09
SB013,M,10.06
SB016,F,85.51
SB001,M,5.03
SB001,F,5.03
SB033,M,5.03
SB008,M,60.36
SB013,M,15.09
SB051,M,20.12
SB016,M,5.03
SB041,M,20.12
SB013,,5.03
SB041,F,9.1
SB016,F,10.06
SB005,M,5.03
SB025,M,5.03
SB054,F,5.03
SB016,M,10.06
SB018,M,5.03
SB054,M,5.03
SB030,M,45.27
SB013,M,5.03
SB007,M,5.03
SB041,M,10.06
SB016,F,15.09
SB022,M,80.48
SB061,,5.03
SB013,M,20.12
SB013,M,45.27
